year publish,year retract,authors,title,journal
2012,2016,"['Ezra Wegbreit', 'Alessandra M Passarotti', 'James A Ellis', 'Minjie Wu', 'Nicole Witowski', 'Jacklynn M Fitzgerald', 'Michael C Stevens', 'Mani N Pavuluri']","Where, when, how high, and how long? The hemodynamics of emotional response in psychotropic-naÃ¯ve patients with adolescent bipolar disorder",Journal of Affective Disorders
,,,,
2015,2016,['Haroon Muzaffar Buttar'],Formation of Entrepreneurial Career Intentions: The Role of Sociocognitive Factors,Journal of Employment Counseling
,,,,
2007,2016,"['James E Hunton', 'Jacob M Rose']",Can directors' self-interests influence accounting choices?,"Accounting, Organizations and Society"
,,,,
2002,2015,"['Diederik A Stapel', 'Willem Koomen']",Interpretation versus Reference Framing: Assimilation and Contrast Effects in the Organizational Domain,Organizational Behavior and Human Decision Processes
,,,,
2009,2015,"['Marcus Maringer', 'Diederik A Stapel']",Correction or comparison? The effects of prime awareness on social judgments,European Journal of Social Psychology
,,,,
2012,2015,"['Shane Melanko', 'Kevin T Larkin']",Preference for immediate reinforcement over delayed reinforcement: relation between delay discounting and health behavior,Journal of Behavioral Medicine
,,,,
2013,2015,"['David E Anderson', 'Edward K Vogel', 'Edward Awh']",Selection and storage of perceptual groups is constrained by a discrete resource in working memory,Journal of Experimental Psychology. Human Perception and Performance
,,,,
2012,2015,"['David E Anderson', 'Edward Awh']",The Plateau in Mnemonic Resolution Across Large Set Sizes Indicates Discrete Resource Limits in Visual Working Memory,"Attention, Perception & Psychophysics"
,,,,
2013,2015,"['David E Anderson', 'Edward K Vogel', 'Edward Awh']",A common discrete resource for visual working memory and visual search,Psychological Science
,,,,
2005,2015,"['Benson Weir', 'Dan N Stone', 'James E Hunton']",Does Graduate Business Education Contribute to Professional Accounting Success?,Accounting Horizons
,,,,
2009,2015,"['Anna Gold', 'James E Hunton', 'Mohamed I Gomaa']",The Impact of Client and Auditor Gender on Auditorsâ€?Judgments,Accounting Horizons
,,,,
2008,2015,"['Robert Libby', 'Hun-Tong Tan', 'James E Hunton']",Does the Form of Managementâ€™s Earnings Guidance Affect Analystsâ€?Earnings Forecasts,The Accounting Review
,,,,
2014,2015,"['Michael J LaCour', 'Donald P Green']",When Contact Changes Minds: An Experiment on Transmission of Support for Gay Equality,Science
,,,,
1997,2015,"['James E Hunton', 'Ruth Ann McEwen']","An Assessment of the Relation between Analysts' Earnings Forecast Accuracy, Motivational Incentives and Cognitive Information Search Strategy",The Accounting Review
,,,,
2002,2015,"['Hun-Tong Tan', 'Robert Libby', 'James E Hunton']",Analysts' Reactions to Earnings Preannouncement Strategies,Journal of Accounting Research
,,,,
2006,2015,"['Robert Libby', 'Mark W Nelson', 'James E Hunton']","Recognition v. Disclosure, Auditor Tolerance for Misstatement, and the Reliability of Stock-Compensation and Lease Information",Journal of Accounting Research
,,,,
2007,2015,"['Robert Libby', 'James E Hunton', 'Hun-Tong Tan', 'Nicholas Seybert']",Relationship Incentives and the Optimistic/Pessimistic Pattern in Analysts' Forecasts,Journal of Accounting Research
,,,,
2010,2015,"['Hun-Tong Tan', 'Robert Libby', 'James E Hunton']",When Do Analysts Adjust for Biases in Management Guidance? Effects of Guidance Track Record and Analystsâ€?Incentives,Contemporary Accounting Research
,,,,
2011,2014,"['Jens Forster', 'Markus Denzler']","Sense Creative! The Impact of Global and Local Vision, Hearing, Touching, Tasting and Smelling on Creative and Analytic Thought",Social Psychological and Personality Science
,,,,
2010,2014,['Mart Bax'],Planned Policy or Primitive Balkanism? A Local Contribution to the Ethnography of the War in Bosnia-Herzegovina,Ethnos: Journal of Anthropology
,,,,
2011,2014,"['Jia Liu', 'Dirk Smeesters', 'Kathleen D Vohs']",Reminders of Money Elicit Feelings of Threat and Reactance in Response to Social Influence,Journal of Consumer Research
,,,,
2009,2014,"['Dirk Smeesters', 'Thomas Mussweiler', 'Naomi Mandel']",The Effects of Thin and Heavy Media Images on Overweight and Underweight Consumers: Social Comparison Processes and Behavioral Implications,Journal of Consumer Research
,,,,
2013,2014,"['Caroline H S Barwood', 'Bruce E Murdoch']",Cognitive linguistic deficits in relapsing-remitting multiple sclerosis,Aphasiology
,,,,
2010,2014,"['Jia Elke Liu', 'Dirk Smeesters']",Have You Seen the News Today? The Effect of Death-Related Media Contexts on Brand Preferences,Journal of Marketing Research
,,,,
2008,2014,"['Arne van den Bos', 'Diederik A Stapel']",The impact of comprehension versus self-enhancement goals on group perception,Social Psychology
,,,,
2005,2013,"['William M Brown', 'Lee Cronk', 'Keith Grochow', 'Amy Jacobson', 'Karen Liu', 'Zoran Popovic', 'Robert Trivers']",Dance Reveals Symmetry Especially in Young Men,Nature
,,,,
2012,2013,"['Adam C Savine', 'Mark A McDaniel', 'Jill Talley Shelton', 'Michael K Scullin']",A characterization of individual differences in prospective memory monitoring using the Complex Ongoing Serial Task,Journal of Experimental Psychology. General
,,,,
2012,2013,"['Wouter Braet', 'Jonas Kubilius', 'Johan Wagemans', 'Hans P Op de Beeck']",The emergence of orthographic word representations in the brain: Evaluating a neural shape-based framework using fMRI and the HMAX model,Cerebral Cortex
,,,,
2010,2013,"['Saskia A Schwinghammer', 'Diederik A Stapel']",Measure by measure: When implicit and explicit social comparison effects differ,Self and Identity
,,,,
2006,2013,"['Marcus Maringer', 'Diederik A Stapel']",Unfinished business: How completeness affects the impact of emotional states and emotion concepts on social judgement,Journal of Experimental Social Psychology
,,,,
2005,2013,"['Diederik A Stapel', 'David M Marx']",Hardly thinking about close and distant others: On cognitive business and target closeness in social comparison effects,Journal of Experimental Social Psychology
,,,,
2005,2013,"['Diederik A Stapel', 'Willem Koomen']",The flexible unconscious: Investigating the judgmental impact of varieties of unaware perception,Journal of Experimental Social Psychology
,,,,
2007,2013,"['Diederik A Stapel', 'David M Marx']",Distinctiveness is Key: How Different Types of Self-Other Similarity Moderate Social Comparison Effects,Personality & Social Psychology Bulletin
,,,,
2008,2013,"['Lennart J Renkema', 'Diederik A Stapel', 'Marcus Maringer', 'Nico W van Yperen']",Terror Management and Stereotyping: Why Do People Stereotype When Mortality Is Salient?,Personality & Social Psychology Bulletin
,,,,
2002,2013,"['Diederik A Stapel', 'Willem Koomen', 'Kirsten I Ruys']",The effects of diffuse and distinct affect,Journal of Personality and Social Psychology
,,,,
2010,2013,"['Marjin H C Miejers', 'Diederik A Stapel']","Me tomorrow, the others later: How perspective fit increases sustainable behavior",Journal of Environmental Psychology
,,,,
2002,2013,"['Diederik A Stapel', 'Norbert Schwartz']",Similarities and Differences between the Impact of Traits and Expectancies: What Matters Is Whether the Target Stimulus Is Ambiguous or Mixed,Journal of Experimental Social Psychology
,,,,
2009,2013,"['Michael Hafner', 'Diederik A Stapel']",Information to go: Fluency enhances the usability of primed information,Journal of Experimental Social Psychology
,,,,
2011,2013,"['Dirk Smeesters', 'Jia (Elke) Liu']",The effect of color (red versus blue) on assimilation versus contrast in prime-to-behavior effects,Journal of Experimental Social Psychology
,,,,
2010,2013,"['Lawrence J Sanna', 'Kristjen B Lundberg', 'Craig D Parks', 'Edward C Chang']","Think and act globally, think and act locally: Cooperation depends on matching construal to action levels in social dilemmas",Journal of Experimental Social Psychology
,,,,
2006,2013,"['David M Marx', 'Diederik A Stapel']",Distinguishing stereotype threat from priming effects: on the role of the social self and threat-based concerns,Journal of Personality and Social Psychology
,,,,
2004,2013,"['Diederik A Stapel', 'Hart Blanton']",From seeing to being: subliminal social comparisons affect implicit and explicit self-evaluations,Journal of Personality and Social Psychology
,,,,
2004,2013,"['Diederik A Stapel', 'Jerry Suls']","Method matters: effects of explicit versus implicit social comparisons on activation, behavior, and self-views",Journal of Personality and Social Psychology
,,,,
2007,2013,"['Diederik A Stapel', 'GÃ¼n R Semin']",The magic spell of language: linguistic categories and their perceptual consequences,Journal of Personality and Social Psychology
,,,,
2006,2013,"['Diederik A Stapel', 'Karen I Van der Zee']","The self salience model of other-to-self effects: integrating principles of self-enhancement, complementarity, and imitation",Journal of Personality and Social Psychology
,,,,
2008,2013,"['Hart Blanton', 'Diederik A Stapel']",Unconscious and spontaneous and...complex: the three selves model of social comparison assimilation and contrast,Journal of Personality and Social Psychology
,,,,
2011,2012,"['Siegwart Lindenberg', 'Janneke F Joly', 'Diederik A Stapel']",The Norm-Activating Power of Celebrity: The Dynamics of Success and Influence,Social Psychology Quarterly
,,,,
2008,2012,"['Camille S Johnson', 'Michael I Norton', 'Leif D Nelson', 'Diederik A Stapel', 'Tanya L Chartrand']",The downside of feeling better: Self-regard repair harms performance,Self and Identity
,,,,
2010,2012,"['Rob M A Nelissen', 'Niels van de Ven', 'Diederik A Stapel']",Status concerns and financial debts in adolescents,Social Influence
,,,,
2006,2012,"['David M Marx', 'Diederik A Stapel']",It's all in the timing: Measuring emotional reactions to stereotype threat before and after taking a test,European Journal of Social Psychology
,,,,
2006,2012,"['Diederik A Stapel', 'David M Marx']",Making sense of war:  using the interpretation comparison model to understand the Iraq conflict,European Journal of Social Psychology
,,,,
2012,2012,"['Camille S Johnson', 'Dirk Smeesters', 'S Christian Wheeler']",Visual perspective influences the use of metacognitive information in temporal comparisons,Journal of Personality and Social Psychology
,,,,
2008,2012,"['Janneke F Joly', 'Diederik A Stapel']","Staff, miter, book, share: how attributes of Saint Nicholas induce normative behavior",European Journal of Social Psychology
,,,,
2010,2012,"['Marret K Noordewier', 'Diederik A Stapel']",Affects of the unexpected: when inconsistency feels good (or bad),Personality & Social Psychology Bulletin
,,,,
2008,2012,"['Janneke F Joly', 'Diederik A Stapel', 'Siegwart M Lindenberg']",Silence and Table Manners: When Environments Activate Norms,Personality & Social Psychology Bulletin
,,,,
2010,2012,"['Yana R Avramova', 'Diederik A Stapel', 'Davy Lerouge']",The influence of mood on attribution,Personality & Social Psychology Bulletin
,,,,
2009,2012,"['Arne van den Bos', 'Diederik A Stapel']",Why people stereotype affects how they stereotype: the differential influence of comprehension goals and self-enhancement goals on stereotyping,Personality & Social Psychology Bulletin
,,,,
2009,2012,"['Diederik A Stapel', 'Marret K Noordewier']",Stop Making Sense: The Ultimate Fear,Psychological Inquiry
,,,,
2006,2012,"['EH Gordijn', 'Diederik A Stapel']",Behavioural effects of automatic interpersonal versus intergroup social comparison,British Journal of Social Psychology
,,,,
2008,2012,"['Kirsten I Ruys', 'Diederik A Stapel']",How to heat up from the cold: examining the preconditions for (unconscious) mood effects,Journal of Personality and Social Psychology
,,,,
2010,2012,"['Yana R Avramova', 'Diederik A Stapel', 'Davy Lerouge']",Mood and context-dependence: Positive mood increases and negative mood decreases the effects of context on perception,Journal of Personality and Social Psychology
,,,,
2008,2012,"['Yana R Avramova', 'Diederik A Stapel']",Moods as spotlights: the influence of mood on accessibility effects,Journal of Personality and Social Psychology
,,,,
2007,2012,"['Camille S Johnson', 'Diederik A Stapel']","No pain, no gain: the conditions under which upward comparisons lead to better performance",Journal of Personality and Social Psychology
,,,,
2007,2012,"['Debra Trampe', 'Diederik A Stapel', 'Frans W Siero']",On models and vases: body dissatisfaction and proneness to social comparison effects,Journal of Personality and Social Psychology
,,,,
1996,2012,"['Diederik A Stapel', 'Willem Koomen', 'Joop van der Pligt']",The referents of trait inferences: The impact of trait concepts versus actorâ€“trait links on subsequent judgments,Journal of Personality and Social Psychology
,,,,
2011,2012,"['Lonneke A J G van der Linde', 'Diederik A Stapel']",What drives self-affirmation effects? On the importance of differentiating value affirmation and attribute affirmation,Journal of Personality and Social Psychology
,,,,
2010,2012,"['Debra Trampe', 'Diederik A Stapel', 'Frans W Siero', 'H Mulder']","Beauty as a tool: The effect of model attractiveness, product relevance, and elaboration likelihood on advertising effectiveness",Psychology & Marketing
,,,,
2006,2012,"['Camille S Johnson', 'Diederik A Stapel']",When different is better: Performance following upward comparison,European Journal of Social Psychology
,,,,
2009,2012,"['Kirsten I Ruys', 'Diederik A Stapel']",The unconscious unfolding of emotions,European Review of Social Psychology
,,,,
2008,2012,"['Kirsten I Ruys', 'Diederik A Stapel']",Emotion elicitor or emotion messenger? Subliminal priming reveals two faces of facial expressions,Psychological Science
,,,,
2009,2012,"['Marret K Noordewier', 'Diederik A Stapel']",Judging the unexpected: Disconfirmation of situation-specific expectancies,European Journal of Social Psychology
,,,,
2010,2012,"['Joris Lammers', 'Diederik A Stapel']",Racist biases in legal decisions are reduced by a justice focus,European Journal of Social Psychology
,,,,
2008,2012,"['Kirsten I Ruys', 'Diederik A Stapel']",The secret life of emotions,Psychological Science
,,,,
2006,2012,"['Diederik A Stapel', 'Camille S Johnson']",When nothing compares to me: How defensive motivations and similarity shape social comparison effects,European Journal of Social Psychology
,,,,
2010,2012,"['Debra Trampe', 'Diederik A Stapel', 'Frans W Siero']",The Self-Activation Effect of Advertisements: Ads Can Affect Whether and How Consumers Think about the Self,Journal of Consumer Research
,,,,
2010,2012,"['Camille S Johnson', 'Diederik A Stapel']",It depends on how you look at it: being versus becoming mindsets determine responses to social comparisons,British Journal of Social Psychology
,,,,
2006,2012,"['Saskia A Schwinghammer', 'Diederik A Stapel']",The Effects of Different Types of Selfâ€“Activation on Social Comparison Orientation,Social Cognition
,,,,
2011,2012,"['Diederik A Stapel', 'Marret K Noordewier']","The Mental Roots of System Justification: System Threat, Need for Structure, and Stereotyping",Social Cognition
,,,,
2011,2012,"['Marret K Noordewier', 'Diederik A Stapel']","When failure feels better than success: Self-salience, self-consistency, and affect",British Journal of Social Psychology
,,,,
2011,2012,"['Marret K Noordewier', 'Diederik A Stapel']",Stereotype Disconfirmation Affect: When Sweet Hooligans Make You Happy and Honest Salesmen Make You Sad,Basic and Applied Social Psychology
,,,,
2010,2012,"['Marret K Noordewier', 'Femke van Horen', 'Kirsten I Ruys', 'Diederik A Stapel']",What's in a Name? 361.708 Euros: The Effects of Marital Name Change,Basic and Applied Social Psychology
,,,,
2011,2011,"['Camille S Johnson', 'Diederik A Stapel']",Happiness as alchemy: Positive mood leads to self-serving responses to social comparisons,Motivation and Emotion
,,,,
2008,2011,"['Yasmin H Said', 'Edward J Wegman', 'Walid K Sharabati', 'John T Rigsby']",Social Networks of Authorâ€“coauthor Relationships,Computational Statistics & Data Analysis
,,,,
2010,2011,"['Kirsten I Ruys', 'Diederik A Stapel', 'Henk Aarts']",From (Unconscious) Perception to Emotion: A Global-to-Specific Unfolding View of Emotional Responding,Emotion Regulation and Well-Being
,,,,
2002,2010,"['Marc D Hauser', 'Daniel Weiss', 'Gary Marcus']",Rule learning by cotton-top tamarins,Cognition
,,,,
2008,2009,"['Timothy R Kuklo', 'Adam T Groth', 'Romney C Anderson', 'H Michael Frisch', 'Richard B Islinger']",Recombinant human bone morphogenetic protein-2 for grade III open segmental tibial fractures from combat injuries in Iraq,The Bone and Joint Journal
,,,,
1997,2000,"['Patricia P Katz', 'Edward H Yelin', 'Sherman Smith', 'Paul D Blanc']",Perceived control of asthma: development and validation of a questionnaire,American Journal of Respiratory and Critical Care Medicine
,,,,
1993,2000,"['M H Williams', 'C Bowie']",Evidence of Unmet Need in the Care of Severely Physically Disabled Adults,BMJ: British Medical Journal
